n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
21757,52930,31173,27311,11727,7719,2133164763.4944,1529320175467180705.1132,31174,11.0972,0.0082,0.0015
17296,111992,94696,21807,14264,23481,2146893844.1497,1534687710369034230.8393,94697,7.7295,0.0018,0.0026
1104,1306,202,19624,27379,9647,2023245408.7291,1386208002014040686.6212,203,8.5733,0.0726,0.0155
15613,31522,15909,21674,12470,9094,2158314876.2705,1531739201143147211.699,15910,9.5334,0.001,0.006
26062,125812,99750,29336,14110,23123,2150335957.5765,1539201985498381089.3537,99751,9.7843,0.001,0.0025
19069,23561,4492,31418,29326,31729,2118480188.3717,1509602187832375955.4452,4493,13.3543,0.0191,0.0046
15889,78151,62262,29969,19760,12937,2148082888.6273,1532956137049962933.3783,62263,2.7557,0.0023,0.002
1039,4535,3496,8504,14149,27136,2143889142.9311,1534203435287073405.1594,3497,4.4836,0.0107,0.0062
23082,71036,47954,11755,27382,4590,2140098994.8449,1541299830709582491.4446,47955,14.8415,0.0042,0.0012
20921,101966,81045,26141,15244,5794,2150821371.3791,1529088892682328461.7894,81046,7.0609,0.0016,0.0029
9286,33969,24683,9371,1972,4560,2145858817.9593,1529888106753452310.5297,24684,8.3026,0.0041,0.0042
13222,46835,33613,3382,9822,1080,2146104418.8233,1524420350687690835.0217,33614,7.7991,0.0059,0.0043
17105,18562,1457,20040,6898,17715,2191451724.4801,1517049353266764254.4691,1458,14.4255,0.004,0.0284
15462,105511,90049,728,20845,9602,2151120985.4907,1534082412364329303.6219,90050,7.2508,0.0006,0.0024
8285,24839,16554,31244,28930,4566,2138827180.3961,1541930729248156112.6991,16555,3.8002,0.0064,0.0015
21996,114289,92293,19728,6958,1873,2150300271.183,1538670337157780216.9959,92294,8.3135,0.0006,0.0029
31382,63713,32331,16924,30713,21014,2150111204.7334,1544336821237246387.0796,32332,8.9554,0.0031,0.0039
