n,m,range,seed,mean,variance,period,chi,kp,km
29622,41947,12325,21387,2130301755.6996,1547139425915674684.5869,12326,8.9137,0.0082,0.0015
8842,76032,67190,16983,2149042695.255,1531826027594505886.9101,67191,3.1392,0.0014,0.0021
5371,69198,63827,5841,2138020565.6199,1532110081606991561.7956,63828,12.6013,0.0047,0.0003
5141,53233,48092,7673,2159848894.3385,1541846219051136788.4624,48093,8.8871,0.0001,0.0053
8054,90905,82851,9537,2147837620.7372,1542047468933980573.2923,82852,3.2516,0.0015,0.0016
28021,77946,49925,22036,2144732830.671,1530131972566671517.1398,49926,3.4586,0.0025,0.0017
28433,70797,42364,6988,2140328090.729,1544400589241240446.7533,42365,10.1614,0.0051,0.0012
17147,44034,26887,9126,2149091190.6425,1548712550907633021.8789,26888,13.6789,0.0036,0.005
8624,16976,8352,19859,2127364391.0493,1526360073445591167.4038,8353,12.3556,0.0104,0.0001
11367,68180,56813,17896,2150556908.0587,1540938047606757280.6992,56814,4.9549,0.0008,0.0028
20757,58758,38001,1798,2152915593.5644,1544306326548146053.4569,38002,6.8538,0.0014,0.0048
20840,56975,36135,14642,2137802535.5992,1532810752150947054.1538,36136,22.7125,0.0073,0.0023
9832,82468,72636,7628,2149618755.6881,1540037517127984359.6031,72637,7.3932,0.0012,0.0018
31633,54571,22938,9058,2159346268.5774,1540263282936503058.2416,22939,5.5376,0.0005,0.0063
14446,88753,74307,905,2152019806.7377,1539629049636743627.8845,74308,4.0201,0.0002,0.0027
16952,87168,70216,12161,2154742208.3083,1537529516552822692.9021,70217,7.7836,0.0001,0.003
32647,51241,18594,15285,2159002099.9747,1554838264037247917.2843,18595,7.4296,0.001,0.0068
11256,77930,66674,31679,2145528698.4265,1532481834110046107.432,66675,7.4765,0.0028,0.0017
2676,93690,91014,27964,2149049316.7486,1532940958568500871.9281,91015,4.6483,0.0015,0.0017
10236,22606,12370,13286,2110604685.7412,1539999834568215092.8866,12371,13.4701,0.0152,0.0002
31502,86532,55030,11981,2143900345.7907,1537875663153147852.6262,55031,15.4719,0.0023,0.0016
20225,89553,69328,3539,2141519087.4803,1546896919063582541.6084,69329,17.5562,0.0038,0.0008
25763,41537,15774,15983,2164294578.2231,1532663484682012101.5682,15775,10.3916,0.0019,0.0093
7665,16767,9102,32420,2139741768.6042,1543152252368607068.8499,9103,4.8846,0.006,0.0038
30763,69891,39128,28778,2142467293.0209,1532461589565241044.5236,39129,5.989,0.0051,0.0017
31576,77522,45946,8998,2133791239.6752,1537142229035522621.4017,45947,13.1807,0.0057,0.0008
12580,52229,39649,3951,2145455427.1938,1537516462275247732.8637,39650,2.8661,0.0019,0.0014
32335,107176,74841,6412,2151256044.8544,1530144310399405431.9916,74842,10.7029,0.0014,0.0032
4451,33077,28626,6817,2175762100.5359,1530910047078601598.9586,28627,18.3017,0.0005,0.011
28657,60277,31620,26415,2145535106.4071,1559404107686575762.4469,31621,14.8284,0.0051,0.0045
28648,113822,85174,10221,2153834360.0013,1542897633342800728.2027,85175,6.486,0.000,0.0029
28766,86820,58054,751,2153005724.4201,1532358863018273451.247,58055,5.3432,0.0004,0.0034
17807,89094,71287,27199,2138388269.1402,1539845823716563031.9794,71288,13.3083,0.0058,0.0002
28121,59867,31746,777,2131836939.1995,1539568797088414268.7064,31747,10.4447,0.008,0.0007
30831,130278,99447,7019,2139654734.2402,1545089955616332639.809,99448,17.6317,0.0047,0.0004
24960,85617,60657,24518,2138085391.5695,1526217497568181315.9796,60658,13.3637,0.0051,0.0013
4688,67934,63246,28502,2155419166.7361,1541614279101262429.308,63247,6.6116,0.0006,0.0039
17153,52477,35324,5486,2139240242.4321,1531795416424372397.0256,35325,6.9678,0.0048,0.0007
17820,48961,31141,22525,2146732302.3043,1526474495476177810.3204,31142,8.7468,0.0036,0.0036
31221,99211,67990,27884,2143048875.6093,1541921385505619334.7018,67991,12.1543,0.0048,0.0016
19661,78032,58371,17693,2146022082.9762,1535883022023699589.8458,58372,2.8897,0.0017,0.0011
20028,96976,76948,25248,2148475509.7138,1529090964404549153.0768,76949,12.8683,0.0023,0.0034
20294,56169,35875,19256,2150001622.4792,1531725094153832909.5111,35876,3.3286,0.0016,0.0031
3013,75177,72164,27942,2149692714.2947,1538121993389244274.13,72165,11.113,0.0014,0.0027
31945,36079,4134,7013,2163634687.8237,1534115585795922746.1713,4135,13.7422,0.0036,0.0135
22620,115376,92756,13139,2140774545.3827,1542421865690219706.546,92757,23.0784,0.004,0.0006
20067,93753,73686,30107,2146772370.1084,1530547155504655534.7378,73687,15.3034,0.0023,0.0024
22445,64353,41908,23906,2134430325.8241,1530038894488649329.4207,41909,10.0048,0.0063,0.001
3913,49248,45335,20434,2149761022.5178,1536334377050863532.1885,45336,2.9822,0.0013,0.0022
15558,33450,17892,9746,2152134032.3995,1545282859926693281.4083,17893,3.5179,0.0018,0.0044
4168,27976,23808,5958,2143903562.3647,1544742923451474927.5457,23809,13.8231,0.0051,0.0033
13629,78168,64539,3886,2146336922.8171,1532903131734049972.5799,64540,5.0815,0.0023,0.0016
28442,42784,14342,12952,2146905807.6278,1513301859354202435.1703,14343,20.6947,0.0063,0.0075
28571,98155,69584,24184,2147143719.5787,1535260927625944597.4835,69585,10.4847,0.0026,0.002
13756,40438,26682,10228,2144545759.363,1530614256112850086.796,26683,8.0053,0.0038,0.0026
13338,36576,23238,28963,2149758654.8049,1541475943152258893.1895,23239,3.1938,0.0017,0.0025
22079,89386,67307,25186,2137543832.8774,1535066685355283106.8066,67308,8.3651,0.0042,0.0006
23581,72500,48919,5421,2134986150.8315,1524750710933119055.9856,48920,13.3793,0.0057,0.0007
31387,130911,99524,12991,2151444238.0605,1535625856720030686.7222,99525,5.9915,0.0007,0.0026
19896,104412,84516,18172,2137359618.3395,1533189321939656914.545,84517,12.1162,0.0042,0.0003
8810,48271,39461,12194,2161549680.9489,1535953005014680991.8162,39462,16.596,0.0001,0.0055
1666,41723,40057,29738,2145005546.408,1529911618154705856.747,40058,10.6106,0.0043,0.0037
6972,12224,5252,16856,2186115080.3834,1561142418870900211.7232,5253,12.1302,0.0029,0.0162
955,99835,98880,7368,2145909752.4644,1534462968128165312.0507,98881,10.4201,0.0022,0.0014
24676,67556,42880,32031,2142111444.3034,1542085289572629169.6062,42881,17.4969,0.0038,0.0014
7589,19358,11769,30697,2150629335.9316,1515633435185045710.8243,11770,9.3535,0.0087,0.0063
6973,61153,54180,1244,2153241085.1528,1531802712469392290.0386,54181,5.8695,0.0006,0.0039
16795,115244,98449,31264,2147473785.7421,1532449955228501267.1013,98450,10.0497,0.002,0.0014
2324,41778,39454,16626,2146462416.7812,1548957091464179165.6419,39455,10.2474,0.0036,0.0032
30942,85616,54674,2637,2151509725.2692,1543665145921672037.3958,54675,7.2525,0.0017,0.004
7398,47472,40074,30462,2141559790.0329,1544392380632787422.7131,40075,6.5988,0.0041,0.0021
21732,112393,90661,3034,2144192738.2775,1531973454200470638.3666,90662,6.0436,0.0026,0.0008
15334,111782,96448,19534,2140534294.6277,1538339451982504119.442,96449,6.8426,0.0032,0.0007
23421,25235,1814,16498,2127896355.9989,1480029701346184443.7025,1815,10.1826,0.0192,0.0078
18992,94926,75934,26541,2139649542.1184,1544533968424692816.6613,75935,12.8402,0.0037,0.0006
21259,68720,47461,14725,2141557053.0864,1531284287716991162.7751,47462,6.9312,0.0037,0.0008
430,1456,1026,5091,2276609174.1831,1576811396405190882.9246,1027,15.5426,0,0.0561
24540,97159,72619,8977,2144021807.6773,1541247493615881596.0021,72620,4.0952,0.0025,0.0007
32433,93525,61092,27409,2152747277.1428,1532872626362902705.3737,61093,6.8526,0.0003,0.003
19766,25279,5513,20469,2131939900.4684,1548396520207520262.2167,5514,4.0699,0.0099,0.0014
7535,23560,16025,8662,2159932850.4934,1542685658836758339.6625,16026,3.7448,0.0007,0.0057
9703,103188,93485,215,2154197090.1359,1530044233222873982.6064,93486,7.5353,0.0006,0.0037
24643,105171,80528,5058,2150001240.9769,1536645439152118787.5008,80529,12.0607,0.0008,0.0019
27420,116813,89393,9650,2156536550.1729,1528472615769279444.1435,89394,16.2742,0.0005,0.0043
3768,35798,32030,29053,2149681054.1605,1537836194144245532.0091,32031,9.0246,0.0015,0.0033
29110,80767,51657,14239,2144510565.2609,1528362025858190019.8116,51658,6.4592,0.0028,0.0017
26644,103706,77062,10312,2143346589.1132,1526277757339658696.2921,77063,25.4321,0.004,0.0023
16491,36908,20417,3517,2145977780.6018,1533166753649669910.838,20418,9.3944,0.0038,0.0053
11805,85190,73385,17194,2147003378.9906,1537967958333486217.1201,73386,11.4948,0.0017,0.0017
11662,58491,46829,29566,2144701451.4248,1532956693565999166.7862,46830,12.1261,0.0038,0.002
2159,60825,58666,25996,2153032789.107,1532524664891826803.0627,58667,15.315,0.0012,0.0054
3837,90335,86498,10108,2146561103.8988,1544698304753621843.4294,86499,4.0638,0.0023,0.0021
5969,89768,83799,30179,2149481586.2368,1534883892372143730.8764,83800,9.9104,0.0012,0.0022
26175,40331,14156,21352,2112800201.9465,1521113066512658112.5921,14157,14.7769,0.0122,0.0001
29428,49850,20422,11361,2155728872.62,1533249871708242385.1378,20423,9.012,0.0016,0.0055
20634,110488,89854,19755,2151083544.0585,1540918764664661759.1654,89855,15.150,0.0018,0.0027
24706,33103,8397,16349,2158769068.8417,1530721716858692394.7574,8398,5.4436,0.0022,0.0061
28406,121897,93491,1150,2136274506.5644,1535455780288046848.0426,93492,11.9653,0.0044,0.0004
8019,84707,76688,24382,2144475288.8036,1536899080471030547.5955,76689,7.2189,0.0026,0.0011
6160,68562,62402,28572,2140266793.973,1535954714329290216.1162,62403,4.9721,0.0041,0.0003
16792,41509,24717,2751,2148762367.3001,1519426726423434347.9545,24718,13.0146,0.004,0.0038
15033,82909,67876,27447,2144131974.4523,1529271827188652248.6551,67877,5.8359,0.0024,0.0011
6620,35464,28844,22455,2140042407.7804,1546741807334052510.1801,28845,14.9059,0.0072,0.002
27309,32423,5114,12562,2191650201.2512,1527880053193733128.9279,5115,15.1626,0.0005,0.0202
17852,59964,42112,26867,2158238256.9527,1538363102982014085.3465,42113,13.7991,0.0003,0.0042
30376,113942,83566,28089,2146308689.7681,1538876120456421002.3542,83567,7.592,0.0021,0.0015
18860,92754,73894,5872,2142871895.1997,1532831687080043563.4677,73895,6.7898,0.0028,0.0011
13138,43397,30259,28999,2140766116.4663,1528967571051367063.6954,30260,15.1993,0.0069,0.0023
4557,90932,86375,31074,2145329508.9665,1542831209761981900.089,86376,6.2631,0.0022,0.0011
16156,93319,77163,2246,2140970068.3864,1537365139217925449.8156,77164,9.2546,0.0037,0.0008
15140,37753,22613,29915,2119251072.3853,1542113791014598900.3264,22614,30.7131,0.0162,0.0012
7088,70879,63791,30237,2155832650.9778,1540830395396463908.4764,63792,16.9359,0.001,0.0044
4935,23851,18916,26717,2152011225.9322,1519125028069737985.0608,18917,16.0263,0.0031,0.006
31585,66135,34550,26014,2136013328.8981,1537381938213683467.6307,34551,5.7875,0.0053,0.000
2964,40905,37941,28844,2143808662.0439,1528934346115268505.0112,37942,6.3136,0.0032,0.0023
24692,66597,41905,14428,2146187144.9692,1539534293671401807.7132,41906,2.1187,0.0023,0.0012
26352,58096,31744,27505,2133705273.4322,1543387235199653826.2043,31745,13.9195,0.0081,0.0009
7606,80808,73202,14414,2156045562.7938,1541750962405084541.8145,73203,17.7608,0.0007,0.0058
22245,58219,35974,9357,2156017578.552,1539984097549571367.2925,35975,17.3671,0.0018,0.0064
24426,123337,98911,31989,2146855523.4683,1546880660272360744.0827,98912,8.9752,0.0025,0.002
40,30263,30223,30488,2145001331.9066,1511032541812548653.3563,30224,17.2157,0.0059,0.0044
1856,80149,78293,6837,2146898008.283,1533395661652525719.1594,78294,5.9478,0.0023,0.002
6958,47846,40888,9216,2146449914.034,1537968771565029209.6989,40889,6.3966,0.0034,0.003
13459,90700,77241,17016,2154715862.6604,1537595415766934845.3714,77242,9.2683,0.0003,0.0038
30316,75066,44750,29438,2138284760.1774,1525077461369107939.1166,44751,4.5091,0.005,0.0005
16211,73578,57367,5287,2146300114.496,1539830193985822647.5992,57368,3.4029,0.002,0.0012
13267,21831,8564,8579,2140728314.2746,1529948301121381727.4499,8565,8.7894,0.0071,0.005
17500,51545,34045,6016,2136640474.2032,1531451281813035067.7361,34046,8.5778,0.0058,0.0014
29544,68864,39320,27578,2142029671.0887,1536926758528214173.1166,39321,6.1525,0.0042,0.0011
9700,22687,12987,22184,2126466071.6811,1558794897641018620.4223,12988,15.243,0.0102,0.0019
23527,23922,395,21477,2158383386.9747,1558063199662496268.863,396,6.7424,0.0167,0.0265
31995,122080,90085,6485,2153052924.4332,1533956312811047456.8525,90086,5.9524,0.0004,0.0028
22005,55661,33656,26414,2150486452.4678,1540161160914122379.876,33657,7.3079,0.002,0.0032
10279,99232,88953,17145,2141216533.087,1538394561769438422.6279,88954,7.1438,0.0026,0.0001
12447,38803,26356,27239,2157501275.6125,1547868389138313368.5683,26357,6.9222,0.0016,0.0048
16113,74515,58402,7256,2153389305.3993,1529687937533862139.3956,58403,12.7659,0.0015,0.0037
4798,22580,17782,9888,2148434745.5487,1548071946856228298.5709,17783,10.7742,0.0044,0.006
9763,93517,83754,1031,2146588708.1753,1540253564933737430.9236,83755,10.7847,0.002,0.0015
9008,31514,22506,32517,2149733929.3272,1518521364652218351.3738,22507,7.6649,0.0046,0.0045
24813,83391,58578,17652,2140001031.6245,1530600800569360832.4413,58579,12.9648,0.0046,0.0006
5684,87606,81922,26279,2157810963.411,1530613501195199389.5394,81923,20.8215,0.0003,0.005
14934,100860,85926,9232,2143679780.9471,1541965737634384758.5483,85927,4.5747,0.0023,0.001
21514,120534,99020,2463,2147294428.7856,1540727577092872717.3779,99021,10.0242,0.0016,0.0012
29970,60716,30746,12587,2152324981.9495,1541687561978038953.5165,30747,16.2979,0.0037,0.0055
12852,84626,71774,15246,2146140087.8252,1539375973610341580.3181,71775,3.6383,0.0014,0.0008
12363,92668,80305,24024,2143859102.7056,1545688135890164596.3513,80306,4.9533,0.003,0.0015
27222,98215,70993,30975,2152363154.819,1540935198629750062.0784,70994,8.1995,0.001,0.0029
25328,70384,45056,10949,2148377699.0668,1530172250454346623.8792,45057,7.8737,0.0027,0.0031
7532,81384,73852,22275,2147277839.1503,1537680655665906318.0857,73853,2.5301,0.0011,0.0013
20623,38914,18291,4280,2138563136.9804,1534287297963432685.209,18292,15.3515,0.0066,0.002
20045,58082,38037,31733,2143527631.6243,1531108771713393258.6733,38038,7.0344,0.0044,0.0022
15862,57021,41159,14854,2146189460.3964,1540872071324835741.1032,41160,11.6278,0.0044,0.0022
14711,101054,86343,26841,2141856924.6241,1543071110153415323.3905,86344,5.825,0.0032,0.0003
7402,48223,40821,2291,2138930196.4512,1535636135546580186.8171,40822,7.737,0.0039,0.0005
22831,97159,74328,24473,2150819180.8476,1533042896527954279.3989,74329,7.0585,0.0017,0.0034
29344,75059,45715,1666,2159233348.572,1546117096018346905.817,45716,11.9825,0.0003,0.0061
4598,48875,44277,30665,2148132508.1151,1543848930223175198.8297,44278,2.9531,0.0023,0.0024
24586,25479,893,1178,2177430801.2092,1549883913045321526.935,894,2.2063,0.0084,0.020
30117,67226,37109,29917,2141090531.7251,1538960178537659404.9544,37110,8.0596,0.0046,0.0017
12014,35752,23738,24296,2147167635.8052,1546491953110520388.5276,23739,23.2933,0.0036,0.0033
9427,70832,61405,19257,2141997585.0716,1534340399670279365.1704,61406,8.3895,0.003,0.0003
22635,24228,1593,2358,2119872044.0496,1577992815411735828.7058,1594,8.8365,0.0195,0.0065
27829,89953,62124,14841,2146053204.1527,1540673090799791143.8379,62125,3.5212,0.0022,0.0023
25466,54063,28597,13312,2132472749.826,1538238132846845834.698,28598,10.0248,0.0061,0.0002
2951,17982,15031,7078,2163261056.8677,1545915272781565896.4282,15032,4.9049,0.0007,0.0076
379,32357,31978,31209,2133248525.7937,1535893194810148510.4614,31979,6.0121,0.0066,0.0007
20656,78139,57483,6851,2147848131.0893,1545159081957072079.9257,57484,15.2916,0.0022,0.0022
9678,44640,34962,15687,2139642613.2268,1543499890874654542.7141,34963,5.8932,0.0041,0.0005
19130,63720,44590,19760,2155800819.3598,1540860043478047024.1179,44591,5.2184,0.0003,0.0044
13029,102547,89518,4005,2153759057.6723,1537634992428245657.0321,89519,6.3103,0.0001,0.0026
25108,71722,46614,20596,2150364768.2496,1541747151246336790.4697,46615,5.6827,0.0013,0.0025
18310,79952,61642,3008,2145157227.5038,1526852697258504848.4685,61643,13.996,0.0033,0.0018
6577,91681,85104,28482,2143041194.9457,1546434077075962072.0994,85105,9.9815,0.0034,0.0016
10754,65384,54630,8471,2148087646.1621,1543307277706430102.8533,54631,1.142,0.0018,0.0026
2998,7163,4165,13640,2095260828.7885,1524419335819273819.0295,4166,10.9489,0.0205,0.0002
21706,53726,32020,21633,2142468250.0303,1531577185335041823.925,32021,5.6961,0.0032,0.0012
13935,61275,47340,22704,2153140966.8099,1535146143426311306.8064,47341,3.486,0.0014,0.0031
13456,66869,53413,5225,2152870899.3257,1532307228574850608.1915,53414,5.0457,0.0007,0.0033
11994,41805,29811,7512,2135173350.3896,1535038542734938171.6355,29812,6.2073,0.0065,0.0002
16153,108702,92549,12669,2155220378.5241,1549998757400134188.271,92550,22.4467,0.0017,0.0049
15244,35771,20527,10052,2126770806.6863,1539404486035629475.552,20528,8.1091,0.0074,0.0003
15347,30946,15599,3682,2143220636.3021,1548900771362569311.178,15600,12.5628,0.0064,0.0033
30987,102375,71388,24220,2156221497.4626,1530567652791352963.9977,71389,9.734,0.0007,0.0046
7235,93269,86034,9145,2146482031.0672,1540192796618721856.054,86035,4.1496,0.0016,0.0017
27799,40810,13011,24569,2159013339.6168,1512805437255188152.5929,13012,16.1722,0.003,0.008
3196,72085,68889,21744,2146015822.879,1537856197391453169.8445,68890,3.1713,0.002,0.0008
3911,50585,46674,23599,2152618722.1038,1527796433805549378.8144,46675,11.4883,0.0021,0.0041
17752,96073,78321,24663,2141492326.4268,1535429507455101305.3885,78322,11.5242,0.0042,0.0008
10088,67970,57882,23873,2150151201.2568,1539785939645600703.1603,57883,2.7525,0.0006,0.0022
2661,75871,73210,18690,2152776740.562,1538959403263353352.0688,73211,10.2344,0.0005,0.0031
26157,101164,75007,16186,2166961925.3908,1537665736985302126.9889,75008,26.1001,0.0001,0.0072
17438,27637,10199,18324,2124637281.8686,1543449672106602605.0757,10200,11.7557,0.0108,0.0012
3615,103277,99662,21573,2146765550.7546,1537498624204184283.8987,99663,7.1926,0.0019,0.001
19990,68534,48544,19447,2151894988.746,1549803974685941069.7926,48545,9.1517,0.0018,0.0039
8574,15389,6815,10178,2126480359.4624,1512914437632255657.5068,6816,7.2995,0.0102,0.0018
2857,16373,13516,31562,2161461787.0053,1516412645819584693.5073,13517,8.3309,0.0027,0.0082
2983,38922,35939,10501,2148476269.5269,1524282484834224352.3063,35940,6.4908,0.0026,0.0031
22476,93089,70613,20473,2148625784.5062,1530504322451410690.8885,70614,3.3498,0.0015,0.0022
8603,99662,91059,30910,2156770154.5699,1540980241113955599.1945,91060,13.4749,0.001,0.0038
18164,81803,63639,1059,2145089101.4412,1535963359042350096.5829,63640,14.8888,0.0041,0.0018
23962,36717,12755,1463,2163934652.2444,1563515150790637219.6231,12756,14.9133,0.0031,0.0106
26020,80675,54655,8196,2140458789.9918,1532713088297340113.6428,54656,6.4826,0.0035,0.0007
6047,11536,5489,32068,2106466172.48,1536063842313829157.0827,5490,10.3394,0.0196,0.0007
6977,10345,3368,1983,2129693991.7008,1555948391069149401.828,3369,7.392,0.0179,0.0059
26973,69268,42295,1229,2139297543.6589,1548788942081711185.9883,42296,18.1432,0.0073,0.0015
803,99698,98895,17843,2139900093.1852,1539490295048381042.6304,98896,9.6945,0.0042,0.0004
18573,39418,20845,26891,2136996137.6844,1531395631812275304.1469,20846,7.7834,0.0054,0.0004
7686,32731,25045,16377,2140264376.384,1551519296367639796.5897,25046,19.3789,0.0063,0.0024
11413,94725,83312,17513,2158965400.9338,1539756735651966902.3158,83313,10.579,0.0001,0.0043
7897,101023,93126,31802,2140487696.8257,1534031369341386271.2835,93127,5.9941,0.0036,0.0005
6071,48089,42018,19459,2137460611.8807,1537057256514390130.529,42019,4.9375,0.0045,0.0001
18,3555,3537,30976,2144748728.2778,1546767851645925062.5393,3538,5.2908,0.0091,0.0071
2983,86302,83319,18219,2146248697.1434,1547747061206883108.4368,83320,8.0482,0.0026,0.0024
1723,26749,25026,1827,2162381515.5305,1534416448400164090.5482,25027,14.8255,0.0003,0.010
13794,101508,87714,16639,2143271050.6578,1533123033403177668.2732,87715,6.0666,0.0035,0.0009
22712,108828,86116,24444,2138764577.735,1537526617926423404.3841,86117,10.3602,0.0038,0.0006
26450,29404,2954,3650,2106802480.535,1512294744476561933.1733,2955,12.2762,0.0186,0.0005
16626,18448,1822,32051,2141630694.8239,1553022542019976603.308,1823,6.7588,0.0131,0.0113
32159,125224,93065,7169,2152582774.9028,1534177131500186343.4166,93066,21.3949,0.0004,0.0027
19380,102889,83509,28885,2137728733.6421,1534722059147275786.6019,83510,9.018,0.0043,0.000
2984,96638,93654,30669,2142901773.7015,1537603847536959203.7908,93655,6.8079,0.0031,0.001
22480,57794,35314,22011,2146585328.8722,1544026498828025832.6826,35315,3.9345,0.0039,0.0039
1647,38025,36378,7408,2142117225.5778,1540246227327004450.5181,36379,5.9675,0.0037,0.0006
9364,97224,87860,18805,2147486214.1924,1543353149495459689.4961,87861,11.6659,0.0025,0.0021
31908,33606,1698,7691,2192379839.1536,1555534014557574591.7981,1699,5.0031,0.0018,0.0231
3562,91934,88372,15401,2148669527.5453,1543023040764404241.1642,88373,6.8531,0.0018,0.0021
18633,68293,49660,8601,2157478955.3996,1534002772337018343.6974,49661,13.8371,0.0003,0.0049
30445,98201,67756,7538,2149405641.9616,1534347771344581621.1915,67757,10.6346,0.0013,0.002
30037,67117,37080,18151,2166820634.4619,1535680113077598366.6281,37081,20.2395,0.000,0.0074
13179,61872,48693,31716,2140865322.0502,1537886724935911990.4342,48694,4.0112,0.0034,0.0004
31900,66668,34768,16391,2147952761.9042,1537587587801128778.5271,34769,1.4587,0.0016,0.002
11596,103835,92239,1114,2155318022.9366,1547582766696827760.3753,92240,14.5189,0.0012,0.004
30927,58181,27254,8276,2134318751.4909,1542014092868973817.3952,27255,7.6143,0.0058,0.0014
12882,48285,35403,32689,2156172783.8663,1547030006313185366.4661,35404,8.8008,0.0019,0.0061
23546,82832,59286,12034,2152555247.6157,1535929801617924138.7566,59287,15.0246,0.0006,0.0052
30400,85839,55439,21794,2158429259.3095,1533642175445528593.4074,55440,14.5795,0.0007,0.0064
19093,26549,7456,19561,2150506550.4222,1547784204252412612.289,7457,7.920,0.0045,0.0063
20135,112676,92541,26184,2149798071.1237,1542333504947638703.4218,92542,12.5066,0.0011,0.0024
14164,30322,16158,18747,2148858514.542,1539929744409884859.7563,16159,20.8712,0.0044,0.0084
1878,100295,98417,30635,2140237876.9003,1537480488953351971.908,98418,8.6008,0.0035,0.0002
22116,88216,66100,76,2148706498.7161,1544985407424200365.8225,66101,6.572,0.0018,0.0024
9153,21852,12699,8827,2163602198.4153,1537482600004406143.0828,12700,12.9553,0.0012,0.0102
4290,82183,77893,32374,2146395148.9276,1541203399520864695.9332,77894,5.8637,0.0019,0.0011
17583,64504,46921,135,2141733362.8138,1536979985795599255.1602,46922,11.1544,0.0058,0.0009
18840,45783,26943,18842,2137379847.348,1544056414291243099.0962,26944,8.0971,0.0055,0.0005
21056,48613,27557,1788,2152095178.0494,1544415569485327207.61,27558,6.7031,0.001,0.0036
13059,86655,73596,18670,2136912865.9959,1536827543240619446.6178,73597,10.9459,0.0045,0.0001
22439,106702,84263,26627,2151705301.4406,1533110227818026938.2218,84264,3.5115,0.0008,0.0027
30588,91129,60541,15571,2151462179.728,1542562968600230197.129,60542,7.337,0.0011,0.0035
29538,42964,13426,22475,2180893262.5109,1548607944933837053.7649,13427,23.0513,0.0021,0.0157
9397,75175,65778,9077,2137007217.8975,1529109740905224423.9489,65779,7.3609,0.005,0.0006
3442,49662,46220,29943,2145146545.1099,1539730412142286846.996,46221,8.8626,0.0036,0.0028
11407,43112,31705,3374,2143036950.0463,1546591410775640180.2791,31706,12.6038,0.0042,0.0024
7691,53527,45836,10021,2154871719.6168,1538707333433561504.6852,45837,7.9676,0.0003,0.0038
3855,40690,36835,24021,2130456635.3771,1538274431763161126.3867,36836,17.2324,0.0091,0.0007
29734,46936,17202,4562,2154960555.3841,1551121594051203865.5488,17203,13.5534,0.0038,0.0066
16325,48948,32623,22553,2134739211.604,1539698882656530066.4481,32624,19.2703,0.0095,0.0012
2718,65649,62931,26308,2148227541.6189,1524700258368633415.2691,62932,14.8799,0.0026,0.0029
8972,27386,18414,2944,2132271184.3018,1556207297724916405.6173,18415,19.3439,0.0093,0.0014
15798,83168,67370,12621,2138230208.403,1531189752707494052.4229,67371,15.3412,0.0054,0.0003
22873,106210,83337,10539,2141529158.2246,1538611555681704628.0008,83338,5.9163,0.0024,0.0001
7282,72042,64760,20291,2133561542.3015,1531195099075143873.0352,64761,12.4211,0.0054,0.0002
28465,68488,40023,21572,2138381995.7946,1538538646546975913.2777,40024,12.7145,0.0041,0.000
23664,122379,98715,29311,2148975576.6231,1546866934290857567.3954,98716,15.8519,0.0026,0.0028
11438,36796,25358,12139,2139935706.1405,1552125895202225295.8423,25359,14.3883,0.0067,0.0033
23254,93940,70686,15776,2136316211.7858,1532213513148507942.6216,70687,8.6363,0.0048,0.000
31896,54893,22997,15600,2157925903.4075,1536086509396110690.4215,22998,4.9353,0.0004,0.0051
28419,66162,37743,19173,2146549977.1889,1548163542092602253.8726,37744,9.1553,0.003,0.0029
23555,101270,77715,6381,2144242579.3903,1547065358727104801.3174,77716,11.1284,0.0027,0.0022
6480,27021,20541,29345,2155483127.9983,1558360389671390788.3152,20542,9.9691,0.0025,0.0063
20175,88821,68646,20221,2149228471.1282,1531998606368401194.8736,68647,2.7189,0.0012,0.0021
7823,78511,70688,29697,2154307226.5941,1545204485429591313.5603,70689,5.3792,0.0012,0.0038
14608,18473,3865,28196,2142022543.322,1518950962592440318.7553,3866,6.8482,0.0094,0.0062
8654,52479,43825,2289,2151628736.7432,1537400443686589442.4057,43826,9.6663,0.001,0.0031
19692,24271,4579,28772,2078188766.3716,1542013098921339031.9881,4580,19.4494,0.0265,0.0003
2724,68239,65515,17321,2157083000.5244,1542402576925005388.3171,65516,8.9022,0.0005,0.0049
10941,23856,12915,728,2134045707.8116,1535885824939034431.3601,12916,7.4375,0.0098,0.0011
30786,71338,40552,27172,2135542745.5057,1535397359814581684.9741,40553,6.0592,0.0054,0.000
8871,80734,71863,22651,2150965657.0456,1536851976449395631.7997,71864,1.7939,0.0008,0.0022
15525,81077,65552,7090,2156895444.311,1546687451959081507.2832,65553,6.3572,0.0002,0.005
5493,85104,79611,2534,2136263186.6888,1540727283093033995.4455,79612,18.4813,0.0052,0.0001
13773,99392,85619,22560,2135883470.013,1534799347669724148.8846,85620,17.7078,0.0054,0.0003
28892,39014,10122,20135,2145062754.5172,1525687423110346055.3652,10123,5.6871,0.0043,0.0038
32279,108670,76391,22639,2150131183.5121,1545646379452881487.9707,76392,8.5653,0.0017,0.0031
1436,45054,43618,26051,2136483706.5435,1535533463718482132.7805,43619,8.7296,0.0054,0.0011
7007,96226,89219,22214,2148367821.9125,1543223909015741711.0687,89220,8.8177,0.0015,0.002
3660,53937,50277,28084,2143770753.4762,1534295342952125592.6808,50278,3.0309,0.0029,0.0009
3508,71259,67751,32014,2150024728.9387,1519665026236012222.4159,67752,29.7403,0.0027,0.0044
